txn_id,mrr_value,handler,diagnosis,action,confidence_score,reasoning,actual_outcome
,494.38,RULES_ENGINE,Deterministic Rule Matched,QUARANTINE_DATA,,Missing Transaction ID.,N/A
txn_1001,0.0,RULES_ENGINE,Deterministic Rule Matched,QUARANTINE_DATA,,Malformed or negative MRR value.,N/A
txn_1002,0.0,RULES_ENGINE,Deterministic Rule Matched,QUARANTINE_DATA,,Malformed or negative MRR value.,N/A
txn_1003,110.02,RULES_ENGINE,Deterministic Rule Matched,RETRY_IMMEDIATE,,Transient network error. Safe to retry immediately.,RECOVERED
txn_1004,82.34,RULES_ENGINE,Deterministic Rule Matched,ESCALATE_TO_COLLECTIONS,,Customer lapsed on promise-to-pay date (2026-08-29). Automatic escalation triggered.,N/A
txn_1005,461.51,LLM_AGENT,"The payment failed with a 'do_not_honor' code on the first attempt. This typically indicates a general decline from the customer's bank, which could be due to various reasons such as fraud prevention, insufficient funds, or an expired card. As it's the initial failure and there's no customer response, the root cause is likely an issue with the payment method that the customer needs to address.",NOTIFY_CUSTOMER,0.9,The 'do_not_honor' failure code on the first attempt suggests a direct issue with the customer's payment method or bank. The most appropriate first action is to notify the customer to prompt them to resolve the issue. SCHEDULE_DUNNING is not suitable as it's the first attempt and we need to give the customer a chance to rectify the problem. ESCALATE_TO_HUMAN is premature as there's no complex issue identified and no prior customer interaction to warrant human intervention at this stage.,RECOVERED
txn_1006,330.63,RULES_ENGINE,Deterministic Rule Matched,MANUAL_REVIEW,,Missing critical customer metadata required for dunning strategy.,N/A
txn_1006,382.87,RULES_ENGINE,Deterministic Rule Matched,QUARANTINE_DATA,,Duplicate transaction detected (txn_1006). Quarantined to prevent MRR double-counting.,N/A
txn_1008,212.16,RULES_ENGINE,Deterministic Rule Matched,BLOCK_ACCOUNT,,Terminal failure code 'suspected_fraud' cannot be resolved via retry.,N/A
txn_1008,419.93,RULES_ENGINE,Deterministic Rule Matched,QUARANTINE_DATA,,Duplicate transaction detected (txn_1008). Quarantined to prevent MRR double-counting.,N/A
